,A-Crops,A-Livestock,A-Forestry,A-Fishery,A-Mining,A-FoodProc,A-BevTobac,A-Textile,A-PapProd,A-Chemical,A-PetRef,A-RubPlast,A-NMetMin,A-BasMet,A-MetProd,A-MachProd,A-OthMfg,A-Utility,A-Const,A-Trade,A-RestHot,A-TransComm,A-Finance,A-RealEst,A-Services,A-UnClass,C-Crops,C-Livestock,C-Forestry,C-Fishery,C-Mining,C-FoodProc,C-BevTobac,C-Textile,C-PapProd,C-Chemical,C-PetRef,C-RubPlast,C-NMetMin,C-BasMet,C-MetProd,C-MachProd,C-OthMfg,C-Utility,C-Const,C-Trade,C-RestHot,C-TransComm,C-Finance,C-RealEst,C-Services,C-UnClass,M-Crops,M-Livestock,M-Forestry,M-Fishery,M-Mining,M-FoodProc,M-BevTobac,M-Textile,M-PapProd,M-Chemical,M-PetRef,M-RubPlast,M-NMetMin,M-BasMet,M-MetProd,M-MachProd,M-OthMfg,M-Utility,M-Const,M-Trade,M-RestHot,M-TransComm,M-Finance,M-RealEst,M-Services,M-UnClass,Labor,Capital,Water,Land,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,ENT,Govt,Margin,Itax,Ttax,Dtax,CapAcct,ROW
A-RubPlast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.2500517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-NMetMin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0269872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-BasMet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.4383487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-MetProd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.9119365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-MachProd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7871.612604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-OthMfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835.106508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.2968748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Const,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.2985987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.7554698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-RestHot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.4690733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-TransComm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054.165839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.376162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-RealEst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.203883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.974427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-UnClass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8016478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-Crops,65.85938218,4.177340203,0.268857083,0.358090655,,341.487709,4.184327637,12.89181282,1.190974637,2.462943964,,71.85640603,,,,,0.792553873,,0.152068911,0.007054155,44.97501806,0.888353079,0.214045781,0.350811241,5.108478101,5.152871986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.929361485,8.073767514,10.48196849,11.88567015,14.11504264,15.6226411,17.84574878,20.62112127,24.486183,34.52417105,,1.981436976,,,,,0.708368219,49.54373514
C-Livestock,,4.74079525,,,,76.31095748,,3.081442201,,0.983633943,,,,,,,3.338987213,,,,2.235221789,,,,0.408911382,0.400658625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.906693891,2.235426835,2.820381207,3.422920346,3.597831645,3.812475927,3.982651588,4.185347701,4.376640332,4.532539866,,0.401241947,,,,,1.630250362,3.336400244
C-Forestry,0.072259677,0.053313342,0.103965973,0.001375129,0.044346556,1.044721445,0.048659948,0.000135332,0.345475472,0.527748082,,0.304383093,0.697856397,0.036894881,0.022883497,0.016475545,7.252481839,,0.020941622,,1.61640518,0.004181064,0.000205883,3.97E-05,0.067573392,0.015130345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036831966,0.045416087,0.054109824,0.053058912,0.047600512,0.044763597,0.034374497,0.030779491,0.017103727,0.011285854,,,,,,,,1.251522821
C-Fishery,,3.053492158,,3.962955796,,114.0558583,,,,1.152499359,,,0.00526414,,,,0.475448691,,,,24.19571221,0.007894223,,,1.216051584,0.036662122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125077978,3.276005977,4.445832592,5.064348082,6.392385834,7.468192611,8.697713201,10.19381378,12.75310556,15.59923625,,0.453825002,,,,,,2.259034962
C-Mining,0.032130925,0.03718199,,0.015596818,6.855353442,1.713549985,0.083010553,0.177176448,0.713790851,5.908283324,251.5917366,0.212928101,10.61777475,10.63618813,0.054392857,1.399778595,1.407159576,118.529284,22.41601676,,0.007649792,0.115786357,,0.000285359,0.013575898,0.66884342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003013276,0.003346628,0.003793203,0.003862422,0.004064953,0.003915746,0.003890488,0.003464528,0.003035082,0.003194531,,,,,,,2.57071118,29.88993125
C-FoodProc,0.028457014,46.23058672,,25.15384762,,313.6078541,12.1960271,0.92508804,2.324529853,7.28322368,0.04484968,0.117188292,0.390965436,,,0.051781771,19.986175,,,3.848171178,90.05899845,1.963388808,0.140515387,0.002442183,7.047324964,6.515943746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.93687276,20.87449952,25.57279205,30.39267883,34.60081457,37.45414481,42.1748243,49.99342873,56.51775261,71.93587977,,2.815181512,,,,,33.6089781,611.788088
C-BevTobac,0.000211037,,,0.000269823,,0.215203204,24.55584931,,,6.36E-09,,,,,,,,,,1.519583035,51.28779065,3.178132894,0.642111632,0.050279887,0.222686258,1.275910616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.149646195,5.763749284,7.110761934,9.810416642,12.38797261,17.43310418,22.10396026,27.66671334,38.83556772,37.00479464,,0.008303553,,,,,18.2565017,25.45594378
C-Textile,0.779796416,0.028954662,0.033123132,0.621911909,0.013438805,0.760501453,0.132715109,403.1580626,0.496284721,16.71858011,0.030227503,9.958624737,0.857180555,0.061227804,0.12996658,4.687293388,28.05750998,0.173730056,0.264351914,11.14507761,9.841961517,5.089071231,2.130304105,0.12689169,3.930947386,3.541498729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.764987704,11.65605786,13.54856398,16.54277232,19.20709719,21.24024428,25.96527199,33.90017526,49.75361931,106.1106216,,0.77951418,,,,,11.23366035,404.8855351
C-PapProd,0.351937449,0.136690015,0.007465539,0.055188104,0.142615309,10.74739259,4.93124152,9.80654743,107.5346444,7.430627028,0.260262871,2.233921554,1.154467378,0.627609031,1.170493332,10.85678654,9.4305524,0.78968245,0.406167516,13.89272891,1.91787779,6.524850419,8.43110882,0.176935976,47.96709187,2.03734793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064957268,0.086575594,0.212766714,0.292460755,0.475604066,0.812478933,1.436377363,2.842300332,5.448496758,13.47239052,,27.00019405,,,,,7.478609349,66.30491777
C-Chemical,47.21238945,7.169002252,0.068597868,2.010384689,0.83867248,5.698361605,11.83606527,84.69057271,32.51878871,211.3139155,1.387726989,38.48772523,24.64344501,6.962658913,10.59684619,70.2709816,49.65027832,0.77531882,11.85131572,5.123660158,7.735474575,3.251931844,2.856235934,0.112300012,28.4549827,10.55333635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81488354,7.329299995,9.009055367,10.91569234,12.91081838,14.16328062,16.62663155,22.15459233,29.51494235,22.41458026,,3.960568535,,,,,32.4155541,209.8048323
C-PetRef,19.08264519,1.158962054,0.1188041,39.34209764,26.66871857,11.82707751,2.221928563,11.04944626,2.209935729,30.55961043,64.22223329,5.452144867,6.6731009,7.996331402,3.855472508,19.59619028,5.713913369,41.05333953,8.06689249,14.84236722,10.49190863,159.4516197,1.69070139,0.789610227,12.19057636,0.358419432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.368398041,1.416831029,2.649183221,2.515326189,3.540422397,4.111881187,4.836182601,6.813700702,10.61380216,28.3699909,,8.803339061,,,,,11.32614472,17.12513566
C-RubPlast,1.987917762,0.209913175,0.00469465,2.846411937,0.171859951,6.839982265,0.464100545,5.803763866,1.218315808,2.890000939,0.059157109,43.04316972,0.24304701,0.224233814,1.920577064,51.32634146,16.42696227,0.235835072,2.040716336,14.65955784,0.974966412,17.55924529,0.13334139,0.065255938,2.379377956,12.71620166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7365123,0.134533714,0.433674752,0.568894481,0.772731205,1.092444958,1.088305623,1.858316773,3.687867996,7.391711755,,0.082263855,,,,,6.070321113,178.0789186
C-NMetMin,0.468637737,0.044710137,0.080392939,0.25054288,0.010609635,1.895405445,3.481486163,0.194068063,0.058905334,0.948850963,,0.00050602,32.43285521,1.110472864,0.604225883,21.44910391,9.300729366,0.103917045,218.9174626,1.36338942,2.006348544,0.048507073,0.078014974,0.266525909,0.307762099,3.889804198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446773597,0.036301464,0.114938109,0.147491701,0.19616272,0.267994759,0.263205417,0.443582331,0.866794716,1.687277186,,0.599292511,,,,,40.65220604,113.6664811
C-BasMet,0.003948575,0.000492405,0.006278496,,0.007928151,0.233605352,1.13E-08,0.007604704,0.06441952,0.023548661,0.000718495,0.061194815,0.056960767,81.63776654,65.32679972,73.66331491,24.46816569,0.006900755,11.40566717,0.023530946,0.004122765,0.080396341,,0.004386859,0.228571314,0.094925895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123736183,,,,,5.834536012,49.70079894
C-MetProd,8.509497121,0.378004036,0.571124309,0.02157235,0.656069888,18.37318583,6.329531436,2.731536352,1.152137064,1.325745019,0.406001872,1.850997981,0.590804451,0.75995607,6.51957129,31.94107889,7.852750913,0.468139655,7.931817352,0.960510249,1.632644027,1.932856016,0.107652206,0.221923557,3.299288859,2.988446196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315602242,0.294519528,0.500968782,0.636420573,1.0023509,1.106934785,1.298401576,1.615396336,2.056542748,4.776666605,,3.075538274,,,,,9.728225426,77.96833859
C-MachProd,10.14377423,0.85702902,0.380528381,8.699126404,9.565967144,9.011602611,2.10347,6.152494492,1.287597484,4.484414151,0.965007578,2.493285402,1.743927426,3.155567896,1.628207995,6991.767101,8.865923615,8.215165363,42.35056638,18.12014653,9.499474733,219.2767863,3.986421446,0.880785732,28.59732635,12.97404705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71129583,3.759076371,5.927218629,8.149969956,9.952907066,13.00503548,15.38941541,22.73640954,29.58567358,88.21648403,,10.41440121,,,,,621.1555642,1215.909445
C-OthMfg,1.758963071,0.320720444,0.118185538,0.08112961,0.627983092,1.216074466,0.241346235,19.87129454,0.412742916,1.874028461,0.144603891,1.908532377,0.711724202,0.421993503,1.796703005,16.5169062,275.4138486,0.443044693,11.86016535,15.49543928,0.91095099,2.869639936,1.709526815,0.114939089,17.54629407,5.105295793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.341466266,8.654800606,10.06069372,11.98608415,13.46743833,15.87168079,16.99674013,21.48504622,34.6221746,59.8418784,,14.05666406,,,,,106.6875721,803.8370345
C-Utility,0.471369755,1.006873962,0.00626062,0.610608714,2.206237434,19.75052343,1.388936242,55.17817058,4.284263191,36.19975556,8.696373383,17.90932828,8.276052316,19.40478008,3.475189015,38.07888038,11.53056439,112.9575033,0.905703791,26.77003415,41.88468979,14.03480785,3.868991121,6.640970794,28.36231818,0.860256558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.865343645,2.193657651,3.092100375,4.105549632,5.354536218,6.667720461,8.904287919,11.86565527,15.01669457,25.91924949,,19.23268387,,,,,0.243500825,19.44083353
C-Const,0.120765629,0.279070564,0.009648199,0.275341121,0.244753262,0.667970721,0.022955353,0.402539391,0.107466812,0.360503158,0.044882752,0.198864553,0.166645416,0.388761295,0.055206073,0.69730078,0.220228862,0.471045637,0.300050404,1.442022243,0.675735727,0.691763345,0.860512099,1.323636547,1.052229602,0.17437896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059801774,0.049417479,0.120790122,0.143646167,0.224851381,0.190171456,0.30082467,0.343920286,0.427778793,0.501216937,,2.551576935,,,,,626.4902837,1.073881313
C-Trade,,,,,,,,,,,,,,,,,,,,,,0.01464131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.568640779,11.50271425,17.05456307,21.73573415,26.97952962,39.09399978,51.72914876,77.35081198,107.5549912,95.6055196,,,164.7443488,,,,,0.004581478
C-RestHot,0.862567272,0.002950582,0.151911222,0.002729262,0.475295894,1.352294956,0.218648681,1.483969737,0.244333008,0.946511504,0.26955753,0.378021096,0.203292881,0.30325091,0.325462671,4.916011735,5.820324467,0.824743976,2.620724332,29.66710352,1.200088115,8.426769548,3.141031828,0.468189002,6.920272126,1.061953656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.686395981,2.233478954,3.641678023,5.077100243,7.95954854,14.75027327,24.85621562,41.20449047,80.73363936,218.7096813,,10.2960677,,,,,,119.7698353
C-TransComm,2.633691082,0.212077257,0.045360013,0.009823601,6.905315794,5.663822962,0.871195146,5.197961519,0.757801992,4.815472248,1.842145921,1.707733346,0.747391709,1.298707749,1.976774178,21.76583301,10.37242031,1.852312301,34.44938758,61.93088581,9.995852815,123.7572569,11.25941802,0.442141551,21.54090288,5.099585543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.336591841,4.027138594,5.950012399,7.659856313,9.564057182,14.01945726,18.7440192,28.54299037,40.10271877,71.03250687,,14.2960715,74.34662385,,,,,496.0171599
C-Finance,9.816112746,1.32344028,0.088360746,2.142171259,1.515020803,10.13930873,1.55393814,14.59757698,2.482763557,9.987721544,1.147167488,3.378772128,2.213613179,3.427062933,2.603156446,15.91694369,10.36662067,15.72719073,4.465287232,20.20290598,6.092103135,22.64431775,15.76301258,11.80063263,2.818683206,5.671308098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.705842017,0.931414993,1.469030176,1.795691606,2.125370261,2.720470301,3.2095115,4.79712456,7.937127531,29.93980173,,1.332571981,,,,,,1.291555002
C-RealEst,0.861710538,0.000475248,,,0.449945327,2.944931631,0.139954501,2.303582734,0.094249151,2.174754695,0.276129762,0.498453013,0.228293351,0.451163198,0.315505539,4.346260939,1.555488716,0.211362178,0.209316155,11.50129115,1.814730932,4.376297147,2.679622301,0.667286613,1.2847695,1.00556097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.926476062,6.040705462,8.081763205,9.420894931,11.29232846,13.53305549,17.27509821,24.15212249,31.27816249,60.51256484,,0.00148442,,,,,1.698567832,40.83540024
C-Services,1.06279023,0.072430493,0.061818315,0.490935119,31.19615388,7.711626236,3.447414995,13.13987599,1.293573184,5.073346707,3.04150245,3.482041652,2.211650704,1.406238219,1.569338076,16.02300832,7.174610892,2.412802127,4.438905525,13.2503285,4.93905315,23.57909212,10.26923431,3.932380376,86.05367035,1.784718875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.388961619,3.139809448,3.844961392,4.760218507,6.718606359,7.19893282,9.709163034,13.93956679,18.45570159,35.56610803,,716.0254105,,,,,,126.6686573
C-UnClass,2.197349474,0.418859083,0.013473724,3.496486526,0.216721271,9.30850165,2.783144389,7.118592135,1.079984823,1.672186748,0.284810991,0.497082982,0.691058476,0.685046594,0.323533233,4.236798482,1.865108068,1.162037265,0.605620291,49.45905114,0.145574375,12.93338432,5.274412485,1.154430911,7.133752312,5.979225186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147565912,0.310331387,0.222608232,0.309702528,0.513432744,0.479304065,0.550706829,0.822482138,1.170142874,2.543880578,,1.809152343,,,,,,20.15754956
M-Crops,,,,,,,,,,,,,,,,,,,,,,,,,,,5.210941339,0.006662644,,,,114.6169007,0.726243215,44.74089409,0.006571023,,1.954815011,0.010039876,0.075612998,,,,0.104204494,,,,4.157261352,,,,0.073957239,0.486904948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29155183,0.363340749,0.482689383,0.548762662,0.696413571,0.815207976,0.984922011,1.230403648,1.598106776,2.441512327,,,,,,,,
M-Livestock,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021327337,0.01579636,,,,1.358919908,,0.045391943,5.043291311,,0.094450516,0.004287954,,,,,,,,,,,,,,0.00168627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004878581,0.005664388,0.007136183,0.008664027,0.009191467,0.009791027,0.010320307,0.011003617,0.011624481,0.012410257,,,,,,,0.16187323,
M-Forestry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055730378,,,,38.90784747,0.0801913,2.31391843,,,,,,,,,0.429260933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.070374842,0.090389861,0.106765773,0.103584332,0.091717513,0.084906189,0.064918507,0.058039909,0.032206964,0.021164518,,,,,,,,
M-Fishery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014251746,,0.003698131,,,,,2.15607025,,,,,,0.013878473,,,,1.052158222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011636763,0.012877023,0.016889071,0.018777704,0.022843123,0.025793713,0.029601864,0.033911113,0.041491138,0.050336329,,,,,,,,
M-Mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087564388,,,0.045935356,,0.49345243,1.104637187,0.333240947,172.4636738,4.771911966,12.66845358,13.15891141,1.134560164,2.739617249,1.813609727,,0.016362763,,,,,0.005535262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009696696,0.01154622,0.01289349,0.012891643,0.013268199,0.012446459,0.012276504,0.010904272,0.009530317,0.009962257,,,,,,,,
M-FoodProc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.152064,0.565179368,,13.6988056,,0.231921401,1.749776931,,,,,,,,,21.93247003,,,,0.272864189,0.018098091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.064371999,2.461120451,3.060989567,3.658614853,4.146840455,4.432990191,4.935191303,5.802983903,6.315378821,7.831283576,,,,,,,,
M-BevTobac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.64128499,,,,,,,,,,,,,,11.64750024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.180378708,3.056840288,3.837352853,5.299115139,6.23313747,8.384051872,10.46582327,12.87363664,17.3054984,22.83955775,,,,,,,,
M-Textile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048783114,,0.271349463,,135.0529539,2.312593413,,,,8.672985652,,,0.680026912,14.11268616,,,0.822375428,0.4365935,0.0102121,,,0.025111949,0.006963499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74420836,2.183528533,2.530414174,3.003941348,3.548357265,3.721316124,4.287004076,5.579346811,7.852205503,16.06022699,,,,,,,0.749122675,
M-PapProd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305503262,0.692911814,1.929745065,,139.2789207,,,,,0.27143005,,0.272056502,,0.192194744,1.321124114,0.085287072,0.001867072,0.70823144,,8.537301421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065251603,0.088671333,0.217028832,0.296817778,0.479682991,0.813299605,1.434834787,2.837149825,5.434967957,13.41233125,,,,,,,,
M-Chemical,,,,,,,,,,,,,,,,,,,,,,,,,,,59.63717183,0.00453688,,4.197814704,0.579746583,7.689762523,16.01009656,23.13311951,21.92702331,278.1517242,28.82534557,48.11909504,56.70075573,32.4065337,6.663532511,21.98532556,12.57749229,2.418866204,7.092005374,,5.794357541,0.006117157,,0.003174068,58.10689037,7.823979518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.638891749,2.027643918,2.510971018,3.048216933,3.631220405,4.012580136,4.719353999,6.29668803,8.409736367,13.61608768,,,,,,,,
M-PetRef,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542462936,0.636426471,0.003959736,2.016160262,1.188710577,0.658562452,0.135208974,0.557338217,0.07174477,1.076712202,0.035993678,0.083128299,72.82800317,0.48125199,3.257586845,2.742599143,0.381218118,2.62331749,0.275889123,0.871894052,0.51491009,53.51166131,0.080614298,0.047429136,0.778328484,0.007963332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216837435,0.227398826,0.424049727,0.401289045,0.562508847,0.650061038,0.763514524,1.075189743,1.674093335,4.468869301,,,,,,,,
